epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5028,1.31259,1.99123,1.23579,0.64005,0.72311,0.71048,0.42552,1.32476,1.95618,1.14483,0.000414624,0.000414624,0.000414624
2,142.433,1.20848,1.34743,1.18244,0.73513,0.69857,0.74126,0.43739,1.37572,1.60985,1.19049,0.000823061,0.000823061,0.000823061
3,211.639,1.15481,1.15935,1.15574,0.74132,0.73919,0.75553,0.44161,1.36235,1.25057,1.25082,0.00122325,0.00122325,0.00122325
4,277.992,1.1464,1.08209,1.16453,0.8038,0.77002,0.80148,0.48651,1.2607,1.13195,1.16919,0.00121287,0.00121287,0.00121287
5,346.533,1.12721,1.01677,1.14731,0.79309,0.82007,0.85251,0.54208,1.21642,0.91099,1.14826,0.0012005,0.0012005,0.0012005
6,413.725,1.07123,0.92891,1.11166,0.85512,0.85338,0.87458,0.55514,1.19857,0.84022,1.15408,0.00118812,0.00118812,0.00118812
7,480.558,1.04299,0.87611,1.10659,0.87097,0.86421,0.88132,0.57324,1.17408,0.78546,1.12821,0.00117575,0.00117575,0.00117575
8,549.482,1.05529,0.86725,1.10533,0.87893,0.84185,0.88526,0.55966,1.22127,0.74346,1.17936,0.00116337,0.00116337,0.00116337
9,616.552,1.01781,0.83764,1.09515,0.85349,0.8444,0.87447,0.51939,1.36123,0.74025,1.26858,0.001151,0.001151,0.001151
10,684.889,1.01536,0.81149,1.09735,0.8995,0.86678,0.89968,0.58568,1.15766,0.66523,1.13337,0.00113863,0.00113863,0.00113863
11,750.872,1.00943,0.80566,1.08682,0.88086,0.87482,0.89832,0.5729,1.20827,0.67925,1.16724,0.00112625,0.00112625,0.00112625
12,817.114,0.98996,0.76097,1.0733,0.89058,0.88571,0.90828,0.57001,1.22559,0.6563,1.1447,0.00111388,0.00111388,0.00111388
13,884.861,0.97374,0.75118,1.07232,0.86361,0.81787,0.86073,0.51802,1.33759,0.91274,1.24032,0.0011015,0.0011015,0.0011015
14,951.485,0.97886,0.74919,1.07329,0.89146,0.89024,0.91441,0.5931,1.19717,0.61761,1.15589,0.00108913,0.00108913,0.00108913
15,1020.72,0.96456,0.73703,1.06836,0.91325,0.87299,0.90868,0.59262,1.17018,0.62123,1.14305,0.00107675,0.00107675,0.00107675
